nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;Mot;pronSampa;ipa
3;ăʹbſtĭnĕnce;L.;;;n.;26.0;20;abstinence;{ b s t @ n @ n s;æbstənəns
2;ăbſtrăʹct;L.;;;v.;27.0;20;abstract;{ b s t r\ { k t;æbstɹækt
2;ăbſtrūʹſe;L.;;;a.;28.0;20;abstruse;@ b s t r\ u s;əbstɹus
2;ăbſŭʹrd;L.;;;a.;29.0;20;absurd;@ b s 3:r d;əbsɜ:rd
3;abŭʹndănce;;;;n.;30.0;20;abundance;@ b V n d @ n s;əbʌndəns
2;abūʹſe;L.;;;v.;31.0;20;abuse;@ b j u s;əbjus
2;ăbyʹſs;G.;;;n.;32.0;20;abyss;@ b I s;əbɪs
4;ăcăʹdĕmy;G.;;;n.;34.0;20;academy;@ k { 4 @ m i:;əkæɾəmiː
2;ăccēʹde;L.;;;v.;36.0;20;accede;{ k s i: d;æksiːd
4;ăccĕʹlĕrāte;L.;;;v.;37.0;20;accelerate;{ k s E l 3:r eI t;æksɛlɜ:r?t
2;ăcʹcĕnt;L.;;;n.;38.0;20;accent;@ k s E n t;əksɛnt
2;ăccĕʹpt;L.;;;v.;39.0;20;accept;{ k s E p t;æksɛpt
4;ăccĕʹptable;;;;a.;40.0;20;acceptable;{ k s E p t @ b @ l;æksɛptəbəl
2;ăccĕʹſs;L.;;;n.;42.0;20;access;{ k s E s;æksɛs
4;ăccĕʹſſĭble;;;;a.;43.0;20;accessible;{ k s E s @ b @ l;æksɛsəbəl
4;ăccĕʹſſion;L.;;;n.;44.0;20;accession;@ k s E S @ n;əksɛʃən
3;ăʹccĭdent;L.;;;n.;46.0;20;accident;{ k s @ d @ n t;æksədənt
4;ăccŏʹmmodāte;L.;;;v.;49.0;20;accommodate;@ k A m @ d eI t;əkɑməd?t
4;ăccŏʹmpăny;F.;;;v.;50.0;20;accompany;@ k V m p @ n i:;əkʌmpəniː
3;ăccŏʹmpliſh;F.;;;v.;51.0;20;accomplish;@ k A m p l i S;əkɑmpliʃ
4;ăccŏʹmplĭſhed;;;;a.;52.0;20;accomplished;@ k A m p l i S t;əkɑmpliʃt
3;ăccŏʹmplice;F.;;;n.;53.0;20;accomplice;@ k A m p l @ s;əkɑmpləs
2;ăccoʹrd;F.;;;v.;55.0;20;accord;@ k O: r\ d;əkOːɹd
2;ăccŏʹſt;F.;;;v.;56.0;20;accost;@ k O: s t;əkOːst
4;ăccuʹmūlăte;L.;;;v.;63.0;20;accumulate;@ k j u m j @ l eI t;əkjumjəl?t
4;ăʹccūracy;L.;;;n.;64.0;20;accuracy;{ k j 3:r @ s i:;ækjɜ:rəsiː
3;ăccŭʹrſed;;;;a.;65.0;20;accursed;@ k 3:r s t;əkɜ:rst
2;ăccūʹſe;L.;;;v.;66.0;20;accuse;@ k j u z;əkjuz
5;ăccūſāʹtion;L.;;;n.;67.0;20;accusation;{ k j @ z eI S @ n;ækjəz?ʃən
4;ăccūʹſātive;;;;n.;68.0;20;accusative;@ k j u z @ 4 i v;əkjuzəɾiv
3;ăccŭʹſtom;F.;;;v.;69.0;20;accustom;@ k V s t @ m;əkʌstəm
1;āc_he_;;;;n.;72.0;20;ache;eI k;?k
2;ăʹcid;L.;;;a.;2.0;21;acid;{ s @ d;æsəd
2;ăʹcids;;;;n.;3.0;21;acids;{ s @ d z;æsədz
4;ăc_k_nŏ_w_lĕdgment;;nbSyll>1 et pas d'accent tonic;;n.;4.0;21;acknowledgment;{ k n A l i dZ m @ n t;æknɑli?mənt
2;ăʹcorn;;;;n.;6.0;21;acorn;eI k O: r\ n;?kOːɹn
2;ăcquaiʹnt;F.;;;v.;8.0;21;acquaint;@ k w eI n t;əkw?nt
3;ăcquaĭʹntănce;;;;n.;9.0;21;acquaintance;@ k w eI n t @ n s;əkw?ntəns
3;acquĭe˘ʹſ_c__e_;L.;;;v.;10.0;21;acquiesce;{ k w i: E s;ækwiːɛs
2;ăcquīʹre;L.;;;v.;11.0;21;acquire;@ k w aI 3:r;əkw?ɜ:r
5;ăcquĭſĭʹtion;L.;;;n.;12.0;21;acquisition;{ k w @ z I S @ n;ækwəzɪʃən
2;ăcquĭʹt;F.;;;v.;14.0;21;acquit;@ k w I t;əkwɪt
3;ăcquĭʹttal;F.;;;n.;15.0;21;acquittal;@ k w I 4 @ l;əkwɪɾəl
2;āʹcre;;;;n.;17.0;21;acre;eI k 3:r;?kɜ:r
4;ăʹcrĭmony;L.;;;n.;18.0;21;acrimony;{ k r\ i m @U n i:;ækɹimoʊniː
1;ăct;L.;;;v.;21.0;21;act;{ k t;ækt
3;ăʹction;L.;;;n.;22.0;21;action;{ k S @ n;ækʃən
5;ăʹctionable;;;;a.;23.0;21;actionable;{ k S @ n @ b @ l;ækʃənəbəl
2;ăʹctĭve;L.;;;a.;24.0;21;active;{ k t i v;æktiv
4;ăctĭʹvĭty;L.;;;n.;25.0;21;activity;{ k t I v @ 4 i:;æktɪvəɾiː
2;ăʹctor;L.;;;n.;26.0;21;actor;{ k t 3:r;æktɜ:r
2;ăʹctrĕſs;;;;n.;27.0;21;actress;{ k t r\ @ s;æktɹəs
3;ăʹctūal;F.;;;a.;28.0;21;actual;{ k tS @ w @ l;æk?əwəl
4;ăʹctūāry;L.;;;n.;29.0;21;actuary;{ k tS @ w E r\ i:;æk?əwɛɹiː
3;ăʹctūāte;L.;;;v.;30.0;21;actuate;{ k tS u w eI t;æk?uw?t
2;acūʹte;L.;;;a.;31.0;21;acute;@ k j u t;əkjut
2;āʹdāge;L.;;;n.;32.0;21;adage;{ 4 @ dZ;æɾə?
4;adāʹgĭo;;;;a.;33.0;21;adagio;@ d A Z i: @U;ədɑʒiːoʊ
3;ăʹdămant;L.;;;n.;34.0;21;adamant;{ 4 @ m @ n t;æɾəmənt
2;adăʹpt;L.;;;v.;37.0;21;adapt;@ d { p t;ədæpt
3;adăʹpted;;;;v.;38.0;21;adapted;@ d { p t @ d;ədæptəd
2;āʹdar;;;;n.;39.0;21;adar;@ d A r\;ədɑɹ
1;ădd;L.;;;v.;40.0;21;add;{ d;æd
2;ăʹdder;;;;n.;41.0;21;adder;{ 4 3:r;æɾɜ:r
2;ăddĭʹct;L.;;;v.;43.0;21;addict;@ d I k t;ədɪkt
4;ăddĭʹtion;L.;;;n.;45.0;21;addition;@ d I S @ n;ədɪʃən
5;ăddĭʹtional;;;;a.;46.0;21;additional;@ d I S @ n @ l;ədɪʃənəl
2;ăʹddle;;;;a.;47.0;21;addle;{ 4 @ l;æɾəl
2;ăddrĕʹſs;F.;;;n.;48.0;21;address;{ d r\ E s;ædɹɛs
3;ăʹdĕquāte;L.;;;a.;51.0;21;adequate;{ 4 @ k w @ t;æɾəkwət
2;ădhēre;L.;nbSyll>1 et pas d'accent tonic;;v.;54.0;21;adhere;@ d h I r\;ədhɪɹ
3;ădhēʹrĕnce;L.;;;n.;55.0;21;adherence;@ d h I r\ @ n s;ədhɪɹəns
3;ădhēʹrent;L.;;;n.;56.0;21;adherent;@ d h I r\ @ n t;ədhɪɹənt
3;ădjāʹcent;L.;;;a.;58.0;21;adjacent;@ dZ eI s @ n t;ə??sənt
3;ăʹdjĕctive;L.;;;n.;59.0;21;adjective;{ dZ i k t i v;æ?iktiv
2;adĭeuʹ;F.;;;p.;60.0;21;adieu;@ d u;ədu
2;ădjoiʹn;L.;;;v.;61.0;21;adjoin;@ dZ OI n;ə??n
3;ădj_o_ŭʹrnment;F.;;;n.;62.0;21;adjournment;@ dZ 3:r n m @ n t;ə?ɜ:rnmənt
2;ădjŭʹdge;L.;;;v.;63.0;21;adjudge;@ dZ V dZ;ə?ʌ?
6;ădjūdĭcāʹtion;L.;;;n.;64.0;21;adjudication;@ dZ u 4 @ k eI S @ n;ə?uɾək?ʃən
2;ăʹdjŭnct;L.;;;n.;65.0;21;adjunct;{ dZ V N k t;æ?ʌŋkt
2;ădjŭʹſt;F.;;;v.;67.0;21;adjust;@ dZ V s t;ə?ʌst
3;ăʹdjūtant;L.;;;n.;68.0;21;adjutant;{ dZ @ t @ n t;æ?ətənt
4;ădmĭʹnĭſt_e_r;L.;;;v.;69.0;21;administer;@ d m I n @ s t 3:r;ədmɪnəstɜ:r
6;ădmĭnĭſtrātion;L.;nbSyll>1 et pas d'accent tonic;;n.;70.0;21;administration;{ d m I n i s t r\ eI S @ n;ædmɪnistɹ?ʃən
5;ădmĭnĭſtrāʹtor;;;;n.;71.0;21;administrator;@ d m I n @ s t r\ eI 4 3:r;ədmɪnəstɹ?ɾɜ:r
3;ăʹdmĭrăl;L.;;;n.;73.0;21;admiral;{ d m 3:r @ l;ædmɜ:rəl
4;ăʹdmĭrălty;;;;n.;2.0;22;admiralty;{ d m 3:r @ l t i:;ædmɜ:rəltiː
5;ădmĭrāʹtion;L.;;;n.;3.0;22;admiration;{ d m 3:r eI S @ n;ædmɜ:r?ʃən
2;ădmīʹre;L.;;;v.;4.0;22;admire;{ d m aI r\;ædm?ɹ
3;ădmĭʹttănce;L.;;;n.;5.0;22;admittance;@ d m I t @ n s;ədmɪtəns
2;ădmĭʹt;L.;;;v.;6.0;22;admit;@ d m I t;ədmɪt
3;ădmŏʹnĭſh;L.;;;v.;7.0;22;admonish;{ d m A n i S;ædmɑniʃ
5;ădmŏnĭʹtion;L.;;;n.;8.0;22;admonition;{ d m @ n I S @ n;ædmənɪʃən
4;ădŏlĕʹſcĕnce;L.;;;n.;9.0;22;adolescence;{ 4 @ l E s @ n s;æɾəlɛsəns
4;ădŏʹption;L.;;;n.;10.0;22;adoption;@ d A p S @ n;ədɑpʃən
4;ădōʹrable;;;;a.;11.0;22;adorable;@ d O: r\ @ b @ l;ədOːɹəbəl
2;ădōʹre;L.;;;v.;12.0;22;adore;@ d O: r\;ədOːɹ
2;ădŏʹrn;L.;;;v.;13.0;22;adorn;@ d O: r\ n;ədOːɹn
2;ădroiʹt;F.;;;a.;14.0;22;adroit;@ d r\ OI t;ədɹ?t
2;ădvăʹnce;F.;;;v.;16.0;22;advance;@ d v { n s;ədvæns
3;ădvăʹnc_e_ment;F.;;;n.;17.0;22;advancement;@ d v { n s m @ n t;ədvænsmənt
3;ădvăʹntage;F.;;;n.;18.0;22;advantage;{ d v { n t i dZ;ædvænti?
2;ăʹdvĕnt;L.;;;n.;19.0;22;advent;{ d v E n t;ædvɛnt
3;ădvĕʹntŭre;F.;;;n.;21.0;22;adventure;{ d v E n tS 3:r;ædvɛn?ɜ:r
4;ădvĕʹntŭr_o_us;;;;a.;22.0;22;adventurous;{ d v E n tS 3:r @ s;ædvɛn?ɜ:rəs
2;ăʹdverb;L.;;;n.;23.0;22;adverb;{ d v 3:r b;ædvɜ:rb
4;ăʹdvĕrſăry;L.;;;n.;24.0;22;adversary;{ d v 3:r s E r\ i:;ædvɜ:rsɛɹiː
2;ăʹdvĕrſe;L.;;;a.;25.0;22;adverse;{ d v 3:r s;ædvɜ:rs
4;ădvĕʹrſity;L.;;;n.;26.0;22;adversity;{ d v 3:r s i 4 i:;ædvɜ:rsiɾiː
3;ădvĕrtĭʹſe;L.;;;v.;29.0;22;advertise;{ d v 3:r t aI z;ædvɜ:rt?z
2;ădvīʹce;F.;;;n.;30.0;22;advice;{ d v aI s;ædv?s
2;ădvīʹſe;;;;v.;31.0;22;advise;{ d v aI z;ædv?z
5;ădūlāʹtion;L.;;;n.;32.0;22;adulation;{ dZ @ l eI S @ n;æ?əl?ʃən
2;adŭʹlt;L.;;;a.;34.0;22;adult;@ d V l t;ədʌlt
4;adŭʹlte˘rāte;L.;;;v.;35.0;22;adulterate;@ d V l t 3:r eI t;ədʌltɜ:r?t
4;adŭʹlte˘rer;;;;n.;36.0;22;adulterer;@ d V l t 3:r 3:r;ədʌltɜ:rɜ:r
4;adŭʹlte˘ry;L.;;;n.;38.0;22;adultery;@ d V l t 3:r i:;ədʌltɜ:riː
3;ăʹdvŏcāte;L.;;;n.;39.0;22;advocate;{ d v @ k @ t;ædvəkət
4;āe˘ʹrĭal;G.;;;a.;46.0;22;aerial;E r\ i: @ l;ɛɹiːəl
2;ăffaiʹr;F.;;;n.;49.0;22;affair;@ f E r\;əfɛɹ
2;affe˘ʹct;L.;;;v.;50.0;22;affect;@ f E k t;əfɛkt
5;ăffĕctāʹtion;L.;;;n.;51.0;22;affectation;{ f E k t eI S @ n;æfɛkt?ʃən
3;ăffĕʹcted;;;;a.;52.0;22;affected;@ f E k t @ d;əfɛktəd
4;ăffĕʹction;L.;;;n.;53.0;22;affection;@ f E k S @ n;əfɛkʃən
5;ăffĕʹctionāte;;;;a.;54.0;22;affectionate;@ f E k S @ n @ t;əfɛkʃənət
4;ăffĭdāʹvit;;;;n.;57.0;22;affidavit;{ f @ d eI v @ t;æfəd?vət
4;ăffĭʹnĭʹty;L.;;;n.;58.0;22;affinity;@ f I n @ 4 i:;əfɪnəɾiː
2;ăffĭrm;L.;nbSyll>1 et pas d'accent tonic;;v.;59.0;22;affirm;@ f 3:r m;əfɜ:rm
5;ăffĭrmāʹtion;L.;;;n.;60.0;22;affirmation;{ f 3:r m eI S @ n;æfɜ:rm?ʃən
4;ăffĭʹrmătive;L.;;;a.;61.0;22;affirmative;@ f 3:r m @ 4 i v;əfɜ:rməɾiv
2;affĭʹx;L.;;;v.;62.0;22;affix;{ f i k s;æfiks
2;ăfflĭʹct;L.;;;v.;64.0;22;afflict;@ f l I k t;əflɪkt
4;ăfflĭʹction;L.;;;n.;65.0;22;affliction;@ f l I k S @ n;əflɪkʃən
3;ăfflūĕnce;L.;nbSyll>1 et pas d'accent tonic;;n.;67.0;22;affluence;{ f l u @ n s;æfluəns
3;ăʹfflūĕnt;L.;;;a.;68.0;22;affluent;{ f l u @ n t;æfluənt
2;ăffoʹrd;;;;v.;70.0;22;afford;@ f O: r\ d;əfOːɹd
3;ăʹfrĭcā;;;;n.;73.0;22;africa;{ f r\ @ k @;æfɹəkə
2;ăffrŏʹnt;F.;;;v.;3.0;23;affront;@ f r\ V n t;əfɹʌnt
1;ăft;;;;p.;6.0;23;aft;{ f t;æft
2;ăʹft_e_r;;;;p.;7.0;23;after;{ f t 3:r;æftɜ:r
3;ăfternooʹn;;;;n.;8.0;23;afternoon;{ f t 3:r n u n;æftɜ:rnun
2;āʹgā;;;;n.;9.0;23;aga;A g @;ɑgə
2;ăʹgate;G.;;;n.;11.0;23;agate;{ g @ t;ægət
1;āge;;;;n.;12.0;23;age;eI dZ;??
3;āʹge˘ncy;L.;;;n.;13.0;23;agency;eI dZ @ n s i:;??ənsiː
2;āʹgent;L.;;;n.;14.0;23;agent;eI dZ @ n t;??ənt
4;ăgglŏʹmĕrāte;L.;;;v.;15.0;23;agglomerate;@ g l A m 3:r eI t;əglɑmɜ:r?t
4;ăgglūʹtĭnāte;L.;;;v.;16.0;23;agglutinate;@ g l u t i n eI t;əglutin?t
3;ăʹggrăndīze;F.;;;v.;17.0;23;aggrandize;@ g r\ { n d aI z;əgɹænd?z
3;ăʹggrăvāte;L.;;;v.;18.0;23;aggravate;{ g r\ @ v eI t;ægɹəv?t
5;ăggrăvāʹtion;L.;;;n.;19.0;23;aggravation;{ g r\ @ v eI S @ n;ægɹəv?ʃən
3;ăʹggrĕgāte;L.;;;v.;20.0;23;aggregate;{ g r\ @ g @ t;ægɹəgət
2;ăggrĕʹſs;L.;;;v.;21.0;23;aggress;@ g r\ E s;əgɹɛs
3;ăggrĕʹſſor;;;;n.;22.0;23;aggressor;@ g r\ E s 3:r;əgɹɛsɜ:r
2;ăggrieʹve;;;;n.;23.0;23;aggrieve;@ g r\ i: v;əgɹiːv
2;ăʹgĭle;L.;;;a.;24.0;23;agile;{ dZ @ l;æ?əl
4;ăgĭʹlĭty;L.;;;n.;25.0;23;agility;@ dZ I l @ 4 i:;ə?ɪləɾiː
3;ăʹgĭtāte;L.;;;v.;28.0;23;agitate;{ dZ @ t eI t;æ?ət?t
5;ăgĭtāʹtion;L.;;;n.;29.0;23;agitation;{ dZ @ t eI S @ n;æ?ət?ʃən
4;ăgĭtāʹtor;L.;;;n.;30.0;23;agitator;{ dZ @ t eI 4 3:r;æ?ət?ɾɜ:r
3;ăʹgŏny;G.;;;n.;33.0;23;agony;{ g @ n i:;ægəniː
2;ăgreeʹ;F.;;;v.;34.0;23;agree;@ g r\ i:;əgɹiː
4;ăgreeʹable;F.;;;a.;35.0;23;agreeable;@ g r\ i: @ b @ l;əgɹiːəbəl
3;ăgreeʹment;;;;n.;36.0;23;agreement;@ g r\ i: m @ n t;əgɹiːmənt
4;ăʹgrĭcŭltŭre;L.;;;n.;37.0;23;agriculture;{ g r\ i k V l tS 3:r;ægɹikʌl?ɜ:r
1;aid;;;;v.;42.0;23;aid;eI d;?d
1;ail;;;;v.;43.0;23;ail;eI l;?l
1;aim;;;;v.;44.0;23;aim;eI m;?m
1;air;;;;n.;45.0;23;air;E r\;ɛɹ
2;aiʹry;;;pas de {POS} indiquée dans le dictionnaire.;;47.0;23;airy;E r\ i:;ɛɹiː
4;ălăbăʹſt_e_r;;;;n.;48.0;23;alabaster;{ l @ b { s t 3:r;æləbæstɜ:r
4;alăʹcrĭty;;;;n.;49.0;23;alacrity;@ l { k r\ @ 4 i:;əlækɹəɾiː
2;alăʹrm;F.;;;n.;51.0;23;alarm;@ l A r\ m;əlɑɹm
3;ăʹlbĭon;L.;;;n.;53.0;23;albion;{ l b i: @ n;ælbiːən
2;ăʹlcōve;F.;;;n.;60.0;23;alcove;{ l k @U v;ælkoʊv
2;ăʹld_e_r;;;;n.;61.0;23;alder;O: l d 3:r;Oːldɜ:r
3;ăʹldĕrmăn;;;;n.;62.0;23;alderman;O: l d 3:r m @ n;Oːldɜ:rmən
1;āle;;;;n.;63.0;23;ale;eI l;?l
4;alexăʹndrĭne;;;;n.;69.0;23;alexandrine;{ l @ g z { n d r\ i: n;æləgzændɹiːn
3;ăʹlgĕbrā;;;;n.;71.0;23;algebra;{ l dZ @ b r\ @;æl?əbɹə
3;ăʹlgorĭthm;;;;n.;73.0;23;algorithm;{ l g 3:r I D @ m;ælgɜ:rɪðəm
3;ăʹlĭas;L.;;;p.;3.0;24;alias;eI l i: @ s;?liːəs
3;ăʹlĭen;L.;;;n.;4.0;24;alien;eI l i: @ n;?liːən
4;ăʹlĭenāte;;;;v.;5.0;24;alienate;eI l j @ n eI t;?ljən?t
6;ălĭenāʹtion;;;;n.;6.0;24;alienation;eI l i: @ n eI S @ n;?liːən?ʃən
5;ălĭmĕʹntary;;;;a.;8.0;24;alimentary;{ l @ m E n t 3:r i:;æləmɛntɜ:riː
4;ăʹlĭmŏny;;;;n.;9.0;24;alimony;{ l @ m @U n i:;æləmoʊniː
3;ăʹlkăhĕſt;;;;n.;13.0;24;alkahest;{ l k @ h E s t;ælkəhɛst
2;ăllaʹy;F.;;;n.;15.0;24;allay;@ l eI;əl?
5;ăllēgāʹtion;L.;;;n.;17.0;24;allegation;{ l @ g eI S @ n;æləg?ʃən
4;ăllĕʹgĭ_a_nce;L.;;;n.;18.0;24;allegiance;@ l i: dZ @ n s;əliː?əns
5;ăllēgŏʹrical;G.;;;a.;19.0;24;allegorical;{ l @ g O: r\ @ k @ l;æləgOːɹəkəl
4;ăʹllĕgŏry;G.;;;n.;21.0;24;allegory;{ l @ g O: r\ i:;æləgOːɹiː
3;ăllēʹgro;;;;n.;22.0;24;allegro;@ l E g r\ @U;əlɛgɹoʊ
4;ăllĕʹvĭāte;L.;;;v.;23.0;24;alleviate;@ l i: v i: eI t;əliːviː?t
2;ăʹlley;F.;;;n.;24.0;24;alley;{ l i:;æliː
3;ăllīʹance;F.;;;n.;25.0;24;alliance;@ l aI @ n s;əl?əns
2;ăllīʹ_e_s;F.;;;n.;26.0;24;allies;{ l aI z;æl?z
4;ăllĭgāʹtor;;;;n.;28.0;24;alligator;{ l @ g eI 4 3:r;æləg?ɾɜ:r
2;allŏʹt;;;;v.;31.0;24;allot;@ l A t;əlɑt
2;allȯẇ;F.;nbSyll>1 et pas d'accent tonic;;v.;32.0;24;allow;@ l aU;əl?
3;allȯẇănce;;nbSyll>1 et pas d'accent tonic;;n.;33.0;24;allowance;@ l aU @ n s;əl?əns
2;allūʹde;L.;;;v.;34.0;24;allude;@ l u d;əlud
2;ăʹllŭm;;;;n.;35.0;24;allum;{ l @ m;æləm
2;allūre;;nbSyll>1 et pas d'accent tonic;;v.;37.0;24;allure;@ l U r\;əlʊɹ
4;allūʹſion;L.;;;n.;39.0;24;allusion;@ l u Z @ n;əluʒən
3;ăʹlmănăc;;;;n.;40.0;24;almanac;O: l m @ n { k;Oːlmənæk
2;ăʹlmŏnd;;;;n.;41.0;24;almond;A m @ n d;ɑmənd
1;alms;;;;n.;43.0;24;alms;A l m z;ɑlmz
2;alŏʹft;;;;p.;45.0;24;aloft;@ l O: f t;əlOːft
2;alooʹf;;;;p.;46.0;24;aloof;@ l u f;əluf
3;ăʹlphăbĕt;G.;;;n.;49.0;24;alphabet;{ l f @ b E t;ælfəbɛt
5;alphăbĕʹtĭcal;G.;;;a.;50.0;24;alphabetical;{ l f @ b E 4 i k @ l;ælfəbɛɾikəl
2;aʹlt_a_r;;;;n.;51.0;24;altar;O: l t 3:r;Oːltɜ:r
2;aʹlt_e_r;L.;;;v.;52.0;24;alter;O: l t 3:r;Oːltɜ:r
5;alte˘rāʹtion;L.;;;n.;53.0;24;alteration;O: l t 3:r eI S @ n;Oːltɜ:r?ʃən
5;alte˘rcāʹtion;L.;;;n.;55.0;24;altercation;A l t 3:r k eI S @ n;ɑltɜ:rk?ʃən
3;alte˘ʹrnāte;L.;;;a.;56.0;24;alternate;O: l t 3:r n @ t;Oːltɜ:rnət
5;alte˘rnāʹtion;L.;;;n.;57.0;24;alternation;O: l t 3:r n eI S @ n;Oːltɜ:rn?ʃən
3;alteʹrnative;;;;n.;58.0;24;alternative;O: l t 3:r n @ 4 i v;Oːltɜ:rnəɾiv
5;altĕʹrnătĭvely;;;;p.;59.0;24;alternatively;O: l t 3:r n @ 4 i v l i:;Oːltɜ:rnəɾivliː
3;aʹltĭtude;L.;;;n.;61.0;24;altitude;{ l t @ t u d;æltətud
2;aʹltŭs;;;;n.;62.0;24;altus;{ l t @ s;æltəs
2;ăʹlum;G.;;;n.;64.0;24;alum;{ l @ m;æləm
4;amăʹlgămāte;;;;v.;66.0;24;amalgamate;@ m { l g @ m eI t;əmælgəm?t
6;amălgămaʹtion;;;;n.;67.0;24;amalgamation;@ m { l g @ m eI S @ n;əmælgəm?ʃən
2;amăʹſs;F.;;;v.;69.0;24;amass;@ m { s;əmæs
2;amāʹze;;;;v.;71.0;24;amaze;@ m eI z;əm?z
3;aʹmăzons;G.;;;n.;72.0;24;amazons;{ m @ z A n z;æməzɑnz
4;ămbăʹſſădor;F.;;;n.;3.0;25;ambassador;{ m b { s @ 4 3:r;æmbæsəɾɜ:r
4;ambăʹſſadreſs;;;;n.;4.0;25;ambassadress;{ m b { s @ d r\ @ s;æmbæsədɹəs
2;ăʹmb_e_r;;;;n.;5.0;25;amber;{ m b 3:r;æmbɜ:r
4;ămbĭdĕʹxtr_o_us;L.;;;a.;8.0;25;ambidextrous;{ m b @ d E k s t r\ @ s;æmbədɛkstɹəs
3;ăʹmbĭĕnt;L.;;;a.;9.0;25;ambient;{ m b i: @ n t;æmbiːənt
5;ambĭgūʹĭty;L.;;;n.;11.0;25;ambiguity;{ m b i g j u @ 4 i:;æmbigjuəɾiː
4;ambĭʹgu_o_us;L.;;;a.;12.0;25;ambiguous;{ m b I g j u @ s;æmbɪgjuəs
4;ămbĭʹtion;L.;;;n.;14.0;25;ambition;{ m b I S @ n;æmbɪʃən
4;ămbĭʹti_o_us;;;;a.;15.0;25;ambitious;{ m b I S @ s;æmbɪʃəs
2;ăʹmble;F.;;;v.;16.0;25;amble;{ m b @ l;æmbəl
